seconds_in_video,angle_radians,angle_degrees
30.0,,
30.02,,
30.04,,
30.06,,
30.08,,
30.1,,
30.12,,
30.14,,
30.16,,
30.18,,
30.2,,
30.22,,
30.24,,
30.26,,
30.28,,
30.3,,
30.32,,
30.34,,
30.36,,
30.38,,
30.4,,
30.42,,
30.44,,
30.46,,
30.48,,
30.5,,
30.52,,
30.54,,
30.56,,
30.58,,
30.6,,
30.62,,
30.64,,
30.66,,
30.68,,
30.7,,
30.72,,
30.74,,
30.76,,
30.78,,
30.8,,
30.82,,
30.84,,
30.86,,
30.88,,
30.9,,
30.92,,
30.94,,
30.96,,
30.98,,
31.0,,
31.02,,
31.04,,
31.06,,
31.08,,
31.1,,
31.12,,
31.14,,
31.16,,
31.18,,
31.2,,
31.22,,
31.24,,
31.26,,
31.28,,
31.3,,
31.32,,
31.34,,
31.36,,
31.38,,
31.4,,
31.42,,
31.44,,
31.46,,
31.48,,
31.5,,
31.52,,
31.54,,
31.56,,
31.58,,
31.6,,
31.62,,
31.64,,
31.66,,
31.68,,
31.7,,
31.72,,
31.74,,
31.76,,
31.78,,
31.8,,
31.82,,
31.84,,
31.86,,
31.88,,
31.9,,
31.92,,
31.94,,
31.96,,
31.98,,
32.0,,
32.02,,
32.04,,
32.06,,
32.08,,
32.1,,
32.12,,
32.14,,
32.16,,
32.18,,
32.2,,
32.22,,
32.24,,
32.26,,
32.28,,
32.3,,
32.32,,
32.34,,
32.36,,
32.38,,
32.4,,
32.42,,
32.44,,
32.46,,
32.48,,
32.5,,
32.52,,
32.54,,
32.56,,
32.58,,
32.6,,
32.62,,
32.64,,
32.66,,
32.68,,
32.7,,
32.72,,
32.74,,
32.76,,
32.78,,
32.8,,
32.82,,
32.84,,
32.86,,
32.88,,
32.9,,
32.92,,
32.94,,
32.96,,
32.98,,
33.0,,
33.02,,
33.04,,
33.06,,
33.08,,
33.1,,
33.12,,
33.14,,
33.16,,
33.18,,
33.2,,
33.22,,
33.24,,
33.26,,
33.28,,
33.3,,
33.32,,
33.34,,
33.36,,
33.38,2.119924857844532,121.4627472393627
33.4,2.1846516098685704,125.17131695192995
33.42,2.2169074530830595,127.01944063275587
33.44,2.221007101921542,127.25433320868663
33.46,2.233819696772418,127.98844081825287
33.48,2.2318214094511832,127.87394738849162
33.5,2.3029313146320245,131.9482448369293
33.52,2.2554583250023006,129.22824289027778
33.54,2.245092422260382,128.63432041232275
33.56,2.3233443957831534,133.11782823374702
33.58,2.3327274597982837,133.65543820071508
33.6,2.3119430530754985,132.46457941581613
33.62,2.3109710119545377,132.40888556207193
33.64,2.3734969108920914,135.99135568145527
33.66,2.4138821145341325,138.30525740492058
33.68,2.4183775068101565,138.56282440959248
33.7,2.449802849597804,140.36336392107657
33.72,2.4522417368267444,140.5031018660032
33.74,2.443979215819513,140.02969428415065
33.76,2.4584995138935732,140.86164608106625
33.78,2.4491394243806943,140.32535245611362
33.8,2.451032553398184,140.4338207588895
33.82,2.445549597455986,140.11967052414542
33.84,2.475006764069244,141.80744184749875
33.86,2.4897715175475943,142.65339990735933
33.88,2.4727763598904438,141.67964910144516
33.9,2.482524447623199,142.2381733868553
33.92,2.4880790006243534,142.55642583090318
33.94,2.53175375509956,145.0588049336026
33.96,2.578426560263693,147.73295968754383
33.98,2.5847341821310117,148.0943597993056
34.0,2.5906097997995667,148.4310078937463
34.019999999999996,2.5898568193294924,148.3878652907553
34.04,2.5912028084144767,148.46498478459554
34.06,2.5922982471567084,148.52774880124056
34.08,2.5936760952516904,148.60669368189315
34.1,2.612263956542401,149.67169968402547
34.12,2.5872442612940616,148.2381767415921
34.14,2.5548377815914094,146.38142222575377
34.16,2.5466658753937934,145.91320649005357
34.18,2.5502888479960584,146.12078752945487
34.2,2.558326630620949,146.5813185505047
34.22,2.568234838537284,147.1490170466488
34.24,2.571201060909349,147.3189690696654
34.26,2.5855453161366992,148.14083435445104
34.28,2.5893378131180182,148.35812842529674
34.3,2.5922995306491146,148.52782233993847
34.32,2.595599021655462,148.71686924914354
34.34,2.6042949672671227,149.215110231567
34.36,2.6092307104074526,149.49790748226854
34.38,2.615143194253998,149.83666785311488
34.4,2.655382887999078,152.14223247360695
34.42,2.724901018592566,156.1253279562531
34.44,2.760237309172225,158.14994827011546
34.46,2.7714640930277405,158.79319560254208
34.480000000000004,2.785464817995073,159.5953780532937
34.5,2.760746485261988,158.17912191108783
34.519999999999996,2.7475791529222127,157.4246893405726
34.54,2.739946026126135,156.9873433906691
34.56,2.7759524261173074,159.0503581456232
34.58,2.78898412327714,159.79701939277425
34.6,2.7998981758117423,160.422348540391
34.62,2.792681909232702,160.00888692157068
34.64,2.8036874962787226,160.63946061037151
34.66,2.8485865102118235,163.21198461303726
34.68,2.871415586658734,164.51999434362673
34.7,2.872732690885867,164.5954588570203
34.72,2.8585098384385894,163.780549439154
34.74,2.8466521862225656,163.1011560122419
34.76,2.841000490552577,162.77733770325918
34.78,2.8201327209159617,161.58170257522985
34.8,2.753590257386305,157.76910025657733
34.82,2.689619631300734,154.1038533690646
34.84,2.62864450982716,150.61023625333132
34.86,2.5817186708094524,147.92158372750634
34.88,2.5133604023905463,144.0049434522806
34.9,2.480242616861088,142.10743411462323
34.92,2.475356999864026,141.82750888037418
34.94,2.4396875515579066,139.78380003487348
34.96,2.420788984576623,138.70099190800062
34.980000000000004,2.40245809907703,137.65070953413638
35.0,2.3946797892331215,137.20504520833538
35.019999999999996,2.381179066912065,136.43151079896077
35.04,2.3397535683563535,134.0580045674932
35.06,2.315322197712296,132.65819014186891
35.08,2.2579877635230017,129.37316904205179
35.1,2.2423982373946005,128.47995499028548
35.12,2.198652528414925,125.97351049394253
35.14,2.160258793159699,123.77371150407542
35.16,2.102619667259933,120.47123285519564
35.18,2.0703547847535906,118.62259126109674
35.2,2.0034398141666823,114.78864586022485
35.22,2.008521464353514,115.07980296889217
35.24,1.992170883571097,114.14298369747196
35.26,1.9886690699144094,113.9423445543025
35.28,1.9836730048287763,113.65609111072305
35.3,1.9778872910939203,113.32459413224493
35.32,1.9975496155977044,114.45116234172842
35.34,1.7677752018849522,101.28605819589481
35.36,1.589586748795448,91.07661187590136
35.38,1.613053194334287,92.42114016545044
35.4,1.6052302037518607,91.97291582190682
35.42,1.6197923552445936,92.80726564307055
35.44,1.6180664833709535,92.70838046873064
35.46,1.686430345694008,96.62534125105508
35.480000000000004,1.8078077465146514,103.57975404634568
35.5,,
35.519999999999996,,
35.54,,
35.56,,
35.58,,
35.6,,
35.62,,
35.64,,
35.66,,
35.68,,
35.7,,
35.72,,
35.74,,
35.76,,
35.78,,
35.8,,
35.82,,
35.84,,
35.86,,
35.88,,
35.9,,
35.92,,
35.94,,
35.96,,
35.980000000000004,,
36.0,,
36.019999999999996,,
36.04,,
36.06,,
36.08,,
36.1,,
36.12,,
36.14,,
36.16,,
36.18,,
36.2,,
36.22,,
36.24,,
36.26,,
36.28,,
36.3,,
36.32,2.3089921144266166,132.29550308563316
36.34,2.184893046488554,125.18515025127492
36.36,2.0742362100061666,118.84498054656484
36.38,1.9920150250181878,114.13405366018925
36.4,1.9532397635506193,111.91239482858134
